country_code,region_name,iata,icao,airport,lat,lon,city_n_zh,province_n_zh,city_n_en,province_n_en
CN,Nei Mongol,TGO,ZBTL,Tongliao Airport,43.5567,122.2,通辽市,内蒙古自治区,Tongliao,Neimenggu
CN,Nei Mongol,UCB,,Ulanqab Airport,41.1297,113.108,乌兰察布市,内蒙古自治区,Wulanchabu,Neimenggu
CN,Nei Mongol,WUA,ZBUH,Wuhai Airport,39.7934,106.799,乌海市,内蒙古自治区,Wuhai,Neimenggu
CN,Nei Mongol,WZQ,,Urad Middle Banner Airport,41.4596,108.535,巴彦淖尔市,内蒙古自治区,Bayannaoer,Neimenggu
CN,Nei Mongol,XIL,ZBXH,Xilinhot Airport,43.9156,115.964,锡林郭勒盟,内蒙古自治区,Xilinguole,Neimenggu
CN,Nei Mongol,YIE,ZBES,Arxan Yi'ershi Airport,47.3106,119.912,兴安盟,内蒙古自治区,Xingan,Neimenggu
CN,Ningxia,GYU,ZLGY,Guyuan Liupanshan Airport,36.0789,106.217,固原市,宁夏回族自治区,Guyuan,Ningxia
CN,Ningxia,INC,ZLIC,Yinchuan Hedong International Airport,38.3228,106.393,银川市,宁夏回族自治区,Yinchuan,Ningxia
CN,Ningxia,ZHY,ZLZW,Zhongwei Shapotou Airport (Zhongwei Xiangshan Airport),37.5731,105.154,中卫市,宁夏回族自治区,Zhongwei,Ningxia
CN,Qinghai,GMQ,ZLGL,Golog Maqin Airport,34.4181,100.301,果洛藏族自治州,青海省,Guoluozangzu,Qinghai
CN,Qinghai,GOQ,ZLGM,Golmud Airport,36.4006,94.7861,海西蒙古族藏族自治州,青海省,Haiximengguzuzangzu,Qinghai
CN,Qinghai,HTT,,Huatugou Airport,38.202,90.8415,海西蒙古族藏族自治州,青海省,Haiximengguzuzangzu,Qinghai
CN,Qinghai,HXD,ZLDL,Delingha Airport,37.1253,97.2687,海西蒙古族藏族自治州,青海省,Haiximengguzuzangzu,Qinghai
CN,Qinghai,XNN,ZLXN,Xining Caojiabao Airport,36.5275,102.043,海东市,青海省,Haidong,Qinghai
CN,Qinghai,YUS,ZLYS,Yushu Batang Airport,32.8364,97.0364,玉树藏族自治州,青海省,Yushuzangzu,Qinghai
CN,Qinghai Sheng,HBQ,ZLHB,Haibei Qilian Airport,38.012,100.644,海北藏族自治州,青海省,Haibeizangzu,Qinghai
CN,Shaanxi,AKA,ZLAK,Ankang Wulipu Airport,32.7081,108.931,安康市,陕西省,Ankang,Shaanxi
CN,Shaanxi,CIH,ZBCZ,Changzhi Wangcun Airport,36.2475,113.126,长治市,山西省,Changzhi,Shanxi
CN,Shaanxi,DAT,ZBDT,Datong Yungang Airport,40.0603,113.482,大同市,山西省,Datong,Shanxi
CN,Shaanxi,ENY,ZLYA,Yan'an Ershilipu Airport,36.6369,109.554,延安市,陕西省,Yanan,Shaanxi
CN,Shaanxi,HZG,ZLHZ,Hanzhong Chenggu Airport,33.1341,107.206,汉中市,陕西省,Hanzhong,Shaanxi
CN,Shaanxi,LFQ,,Linfen Qiaoli Airport,36.1326,111.641,临汾市,山西省,Linfen,Shanxi
CN,Shaanxi,LLV,ZBLL,Luliang Airport,37.6833,111.143,吕梁市,山西省,Lüliang,Shanxi
CN,Shaanxi,SIA,ZLSN,Xi'an Xiguan Airport,34.3767,109.12,西安市,陕西省,Xian,Shaanxi
CN,Shaanxi,TYN,ZBYN,Taiyuan Wusu International Airport,37.7469,112.628,太原市,山西省,Taiyuan,Shanxi
CN,Shaanxi,UYN,ZLYL,Yulin Yuyang Airport,38.3597,109.591,榆林市,陕西省,Yulin,Shaanxi
CN,Shaanxi,WUT,ZBXZ,Xinzhou Wutaishan Airport,38.5975,112.969,忻州市,山西省,Xinzhou,Shanxi
CN,Shaanxi,XIY,ZLXY,Xi'an Xianyang International Airport,34.4471,108.752,咸阳市,陕西省,Xianyang,Shaanxi
CN,Shandong,DOY,ZSDY,Dongying Shengli Airport,37.5086,118.788,东营市,山东省,Dongying,Shandong
CN,Shandong,JNG,ZLJN,Jining Qufu Airport,35.2928,116.347,济宁市,山东省,Jining,Shandong
CN,Shandong,LYI,ZSLY,Linyi Shubuling Airport,35.0461,118.412,临沂市,山东省,Linyi,Shandong
CN,Shandong,PNJ,,Penglai Shahekou Airport,42.4464,119.574,赤峰市,内蒙古自治区,Chifeng,Neimenggu
CN,Shandong,RIZ,,Rizhao Shanzihe Airport,35.405,119.324,日照市,山东省,Rizhao,Shandong
