country_code,region_name,iata,icao,airport,lat,lon,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,NAME_1,TYPE_1
CN,Nei Mongol,HUO,ZBHZ,Holingol Huolinhe Airport,45.4872,119.407,通辽市,150500,通辽市,150500,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,NZH,ZBMZ,Manzhouli Xijiao Airport,49.5667,117.33,呼伦贝尔市,150700,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,NZL,,Zhalantun Chengjisihan Airport,47.8658,122.768,呼伦贝尔市,150700,呼伦贝尔市,150700,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,RHT,,Alxa Right Banner Badanjilin Airport,39.225,101.546,阿拉善盟,152900,阿拉善盟,152900,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,RLK,ZBYZ,Bayannur Tianjitai Airport,40.926,107.743,巴彦淖尔市,150800,巴彦淖尔市,150800,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,TGO,ZBTL,Tongliao Airport,43.5567,122.2,通辽市,150500,通辽市,150500,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,UCB,,Ulanqab Airport,41.1297,113.108,乌兰察布市,150900,乌兰察布市,150900,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,WUA,ZBUH,Wuhai Airport,39.7934,106.799,乌海市,150300,乌海市,150300,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,WZQ,,Urad Middle Banner Airport,41.4596,108.535,巴彦淖尔市,150800,巴彦淖尔市,150800,地级市,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,XIL,ZBXH,Xilinhot Airport,43.9156,115.964,锡林郭勒盟,152500,锡林郭勒盟,152500,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Nei Mongol,YIE,ZBES,Arxan Yi'ershi Airport,47.3106,119.912,兴安盟,152200,兴安盟,152200,盟,内蒙古自治区,150000,自治区,Neimenggu,Autonomous Region
CN,Ningxia,GYU,ZLGY,Guyuan Liupanshan Airport,36.0789,106.217,固原市,640400,固原市,640400,地级市,宁夏回族自治区,640000,自治区,Ningxia,Autonomous Region
CN,Ningxia,INC,ZLIC,Yinchuan Hedong International Airport,38.3228,106.393,银川市,640100,银川市,640100,地级市,宁夏回族自治区,640000,自治区,Ningxia,Autonomous Region
